Name,Desc,Number,X,Y,Theta,X,Y,Theta,X,Y,Theta,X,Y,Theta,X,Y,Theta
Move10,Move ten feet,2,0,0,0,120,0,0,,,,,,,,,
Move8,Move eight feet,2,0,0,0,96,0,0,,,,,,,,,
Red11,Feed Switch from Front Start 1 aud,4,16,280.25,0,80,290.25,0,120,290.25,-30,140,255,-110,,,
Red12,Feed Scale from front aud,4,16,280.25,0,80,300,0,270,300,-30,300,242,-110,,,
Red13,Feed scale from side aud,5,16,280.25,0,80,300,0,195,300,-30,195,280,25,288,220,0
Red14,Feed cross scale from side,5,16,280.25,0,80,300,0,195,300,-30,195,130,-90,288,108,0
Red31,Feed Switch from Side start 3 aud,3,16,160.25,0,112,234,0,118,234,0,,,,,,
Red32,Feed Switch from Side start 3 cont,3,16,160.25,0,112,95,0,118,95,0,,,,,,
Red51,Feed Switch from Front Start 5 cont,4,16,43.75,0,80,33.75,0,120,33.75,30,140,69,110,,,
Red52,Feed Scale from front cont,4,16,43.75,0,80,20,0,270,20,30,300,78,110,,,
Red53,Feed scale from side cont,5,16,43.75,0,80,20,0,195,20,30,195,204,-25,288,108,0
Red54,Feed cross scale from side,5,16,43.75,0,80,20,0,195,20,30,195,180,90,288,220,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
