Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage
0, 0, 9.75100000000051, 0.0, 0.0
0, 0, 32.96100000000024, 0.0, 0.0
0, 0, 40.758000000000294, 0.0, 0.0
0, 0, 60.60700000000008, 0.11974584555229717, 0.11974584555229717
0, 0, 80.89600000000007, 0.17961876832844575, 0.17961876832844575
0, 0, 100.54799999999986, 0.23949169110459434, 0.23949169110459434
0, 0, 120.73300000000043, 0.2993646138807429, 0.2993646138807429
0, 0, 141.108, 0.3592375366568915, 0.3592375366568915
0, 0, 160.56999999999988, 0.41911045943304004, 0.41911045943304004
0, 0, 180.60100000000023, 0.4789833822091887, 0.4789833822091887
0, 0, 200.59100000000018, 0.550830889540567, 0.550830889540567
0, 0, 220.54799999999997, 0.6107038123167156, 0.6107038123167156
0, 0, 240.6500000000005, 0.6705767350928641, 0.6705767350928641
0, 0, 260.5810000000002, 0.7304496578690127, 0.7304496578690127
0, 0, 280.6220000000001, 0.7870967741935484, 0.7870967741935484
0, 0, 300.71899999999994, 0.8467253176930596, 0.8467253176930596
0, 0, 320.6059999999997, 0.906353861192571, 0.906353861192571
4, 2, 340.6180000000001, 0.9659824046920822, 0.9659824046920822
16, 8, 360.5660000000004, 1.0256109481915934, 1.0256109481915934
20, 10, 380.5760000000005, 1.097165200391007, 1.097165200391007
22, 14, 401.05799999999994, 1.1567937438905183, 1.1567937438905183
26, 20, 420.7179999999999, 1.2164222873900294, 1.2164222873900294
27, 24, 440.5929999999998, 1.2760508308895406, 1.2708211143695016
24, 25, 460.5800000000002, 1.3356793743890518, 1.3302052785923755
37, 32, 480.5630000000001, 1.395307917888563, 1.3895894428152493
52, 37, 500.5699999999997, 1.4549364613880744, 1.4489736070381232
61, 42, 520.6379999999999, 1.5145650048875856, 1.508357771260997
72, 50, 540.6430000000003, 1.5741935483870968, 1.5677419354838709
84, 60, 560.5500000000001, 1.6457478005865103, 1.6390029325513196
87, 69, 580.5949999999998, 1.7053763440860215, 1.6983870967741934
93, 83, 600.5080000000005, 1.7433040078201372, 1.7433040078201372
107, 99, 620.6580000000006, 1.8021994134897363, 1.8021994134897363
118, 114, 640.5219999999998, 1.8610948191593355, 1.8610948191593355
128, 128, 662.7530000000004, 1.9199902248289347, 1.9199902248289347
141, 144, 680.6720000000004, 1.9788856304985338, 1.9788856304985338
157, 159, 700.6540000000001, 2.0377810361681328, 2.0377810361681328
170, 171, 720.7590000000001, 2.1084555229716524, 2.1084555229716524
183, 184, 740.5730000000003, 2.1673509286412513, 2.1673509286412513
199, 199, 760.656, 2.2262463343108507, 2.2170087976539588
215, 214, 780.5420000000005, 2.2851417399804497, 2.2756598240469206
226, 226, 800.5900000000006, 2.344037145650049, 2.3343108504398824
240, 242, 820.6160000000002, 2.402932551319648, 2.3929618768328442
256, 256, 840.7990000000005, 2.4618279569892474, 2.4516129032258065
271, 271, 860.6550000000004, 2.5207233626588468, 2.5102639296187683
283, 284, 880.5880000000004, 2.579618768328446, 2.56891495601173
299, 300, 900.6910000000001, 2.650293255131965, 2.6392961876832843
311, 313, 920.75, 2.675464320625611, 2.675464320625611
325, 330, 940.576, 2.733626588465298, 2.733626588465298
336, 341, 960.6250000000002, 2.7917888563049855, 2.7917888563049855
349, 355, 980.67, 2.8499511241446727, 2.8499511241446727
360, 366, 1000.603, 2.90811339198436, 2.90811339198436
374, 378, 1020.6879999999999, 2.966275659824047, 2.966275659824047
386, 389, 1040.573, 3.024437927663734, 3.024437927663734
389, 401, 1060.518, 3.0826001955034212, 3.0826001955034212
400, 413, 1080.716, 3.139149560117302, 3.1259042033235582
413, 427, 1101.158, 3.197067448680352, 3.1835777126099707
423, 438, 1120.5819999999997, 3.254985337243402, 3.241251221896383
438, 451, 1140.5979999999997, 3.3129032258064517, 3.2989247311827956
462, 466, 1160.8070000000002, 3.370821114369502, 3.3565982404692085
480, 484, 1180.8430000000003, 3.428739002932552, 3.414271749755621
495, 504, 1200.9100000000003, 3.4866568914956018, 3.4719452590420334
517, 527, 1220.5659999999998, 3.544574780058652, 3.529618768328446
536, 548, 1240.4950000000001, 3.5530791788856306, 3.5835777126099706
554, 570, 1260.5580000000004, 3.6100195503421313, 3.641006842619746
573, 592, 1280.5220000000004, 3.6669599217986315, 3.698435972629521
591, 615, 1300.669, 3.723900293255132, 3.755865102639296
609, 632, 1320.5179999999998, 3.7808406647116324, 3.813294232649071
619, 653, 1340.5870000000002, 3.837781036168133, 3.8707233626588464
640, 670, 1360.8520000000003, 3.8947214076246333, 3.9281524926686213
653, 688, 1380.6510000000003, 3.951661779081134, 3.9855816226783967
663, 700, 1400.71, 4.008602150537635, 3.9913978494623663
678, 723, 1420.6910000000005, 4.076930596285435, 4.059433040078202
708, 750, 1440.5330000000004, 4.133870967741935, 4.1161290322580655
715, 774, 1460.5639999999999, 4.1908113391984365, 4.172825024437929
735, 797, 1480.5479999999998, 4.247751710654937, 4.229521016617792
767, 832, 1500.6080000000006, 4.304692082111437, 4.286217008797655
789, 857, 1520.5549999999998, 4.361632453567937, 4.342913000977518
796, 872, 1540.5490000000004, 4.418572825024438, 4.399608993157381
821, 889, 1560.5580000000004, 4.437096774193549, 4.437096774193549
839, 912, 1580.7380000000003, 4.493548387096775, 4.493548387096775
850, 919, 1600.5970000000004, 4.561290322580645, 4.561290322580645
868, 931, 1620.9430000000004, 4.617741935483871, 4.617741935483871
896, 948, 1640.5700000000004, 4.674193548387096, 4.674193548387096
918, 967, 1660.7469999999998, 4.730645161290323, 4.730645161290323
939, 979, 1680.567, 4.787096774193549, 4.787096774193549
