Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage,,,,,,,,,,
0,0,9.751,0,0,0,0,0,0,,,,,,
0,0,32.961,0,0,0,0,0,0,,,,,,
0,0,40.758,0,0,0,0,0,0,,,,,,
0,0,60.607,0.119745846,0.119745846,0.119745846,0,0.119745846,0,,,,,,
0,0,80.896,0.179618768,0.179618768,0.179618768,0,0.179618768,0,,,,,,
0,0,100.548,0.239491691,0.239491691,0.239491691,0,0.239491691,0,,,,,,
0,0,120.733,0.299364614,0.299364614,0.299364614,0,0.299364614,0,,,,,,
0,0,141.108,0.359237537,0.359237537,0.359237537,0,0.359237537,0,,,,,,
0,0,160.57,0.419110459,0.419110459,0.419110459,0,0.419110459,0,,,,,,
0,0,180.601,0.478983382,0.478983382,0.478983382,0,0.478983382,0,,,,,,
0,0,200.591,0.55083089,0.55083089,0.55083089,0,0.55083089,0,,,,,,
0,0,220.548,0.610703812,0.610703812,0.610703812,0,0.610703812,0,,,,,,
0,0,240.65,0.670576735,0.670576735,0.670576735,0,0.670576735,0,,,,,,
0,0,260.581,0.730449658,0.730449658,0.730449658,0,0.730449658,0,,,,,,
0,0,280.622,0.787096774,0.787096774,0.787096774,0,0.787096774,0,,,,,,
0,0,300.719,0.846725318,0.846725318,0.846725318,0,0.846725318,0,,,,,,
0,0,320.606,0.906353861,0.906353861,0.906353861,0,0.906353861,0,,,,,,
4,2,340.618,0.965982405,0.965982405,0.965982405,4,0.965982405,2,,,,,,
16,8,360.566,1.025610948,1.025610948,1.025610948,16,1.025610948,8,,,,,,
20,10,380.576,1.0971652,1.0971652,1.0971652,20,1.0971652,10,,,,,,
22,14,401.058,1.156793744,1.156793744,1.156793744,22,1.156793744,14,,,,,,
26,20,420.718,1.216422287,1.216422287,1.216422287,26,1.216422287,20,,,,,,
27,24,440.593,1.276050831,1.270821114,1.276050831,27,1.270821114,24,,,,,,
24,25,460.58,1.335679374,1.330205279,1.335679374,24,1.330205279,25,,,,,,
37,32,480.563,1.395307918,1.389589443,1.395307918,37,1.389589443,32,,,,,,
52,37,500.57,1.454936461,1.448973607,1.454936461,52,1.448973607,37,,,,,,
61,42,520.638,1.514565005,1.508357771,1.514565005,61,1.508357771,42,,,,,,
72,50,540.643,1.574193548,1.567741935,1.574193548,72,1.567741935,50,,,,,,
84,60,560.55,1.645747801,1.639002933,1.645747801,84,1.639002933,60,,,,,,
87,69,580.595,1.705376344,1.698387097,1.705376344,87,1.698387097,69,,,,,,
93,83,600.508,1.743304008,1.743304008,1.743304008,93,1.743304008,83,,,,,,
107,99,620.658,1.802199413,1.802199413,1.802199413,107,1.802199413,99,,,,,,
118,114,640.522,1.861094819,1.861094819,1.861094819,118,1.861094819,114,,,,,,
128,128,662.753,1.919990225,1.919990225,1.919990225,128,1.919990225,128,,,,,,
141,144,680.672,1.97888563,1.97888563,1.97888563,141,1.97888563,144,,,,,,
157,159,700.654,2.037781036,2.037781036,2.037781036,157,2.037781036,159,,,,,,
170,171,720.759,2.108455523,2.108455523,2.108455523,170,2.108455523,171,,,,,,
183,184,740.573,2.167350929,2.167350929,2.167350929,183,2.167350929,184,,,,,,
199,199,760.656,2.226246334,2.217008798,2.226246334,199,2.217008798,199,,,,,,
215,214,780.542,2.28514174,2.275659824,2.28514174,215,2.275659824,214,,,,,,
226,226,800.59,2.344037146,2.33431085,2.344037146,226,2.33431085,226,,,,,,
240,242,820.616,2.402932551,2.392961877,2.402932551,240,2.392961877,242,,,,,,
256,256,840.799,2.461827957,2.451612903,2.461827957,256,2.451612903,256,,,,,,
271,271,860.655,2.520723363,2.51026393,2.520723363,271,2.51026393,271,,,,,,
283,284,880.588,2.579618768,2.568914956,2.579618768,283,2.568914956,284,,,,,,
299,300,900.691,2.650293255,2.639296188,2.650293255,299,2.639296188,300,,,,,,
311,313,920.75,2.675464321,2.675464321,2.675464321,311,2.675464321,313,,,,,,
325,330,940.576,2.733626588,2.733626588,2.733626588,325,2.733626588,330,,,,,,
336,341,960.625,2.791788856,2.791788856,2.791788856,336,2.791788856,341,,,,,,
349,355,980.67,2.849951124,2.849951124,2.849951124,349,2.849951124,355,,,,,,
